1,1,613.116,187.304,43.3917,85.8757,1,-1,-1,-1,0,0,0,0.00240096,0.204082,0.027611,0.798319,0.00240096,0.0060024,1,0.0972389
1,3,43.438,44.9276,16.7897,31.7459,1,-1,-1,-1,0,0,0,0.0888889,0.0222222,0.0444444,0.133333,0,0.355556,1,0.2
1,4,0.5989,136.958,14.516,67.1335,1,-1,-1,-1,0.0487805,0,0,0.146341,0.292683,0,0.243902,0.0243902,0.0731707,1,0.414634
1,39,429.603,204.096,35.8098,84.2515,1,-1,-1,-1,0,0,0,0.00668896,0.0367893,0.0367893,1,0.0668896,0.311037,0.913043,0.157191
2,1,608.49,186.701,43.1266,85.5996,1,-1,-1,-1,0,0,0,0.0012837,0.189987,0.0205392,0.944801,0.00513479,0.00385109,1,0.0885751
2,3,45.1521,44.9738,16.7667,31.722,1,-1,-1,-1,0,0,0,0.15,0.375,0.025,0.275,0,0.275,1,0.4
2,4,0.57785,137.286,16.0221,67.1117,1,-1,-1,-1,0.236364,0,0,0.163636,0.127273,0.218182,0.181818,0.0727273,0.181818,1,0.163636
2,39,434.322,204.755,35.6884,84.4354,1,-1,-1,-1,0.0222772,0.0767327,0.0272277,0,0.0346535,0.0767327,0.754951,0.0866337,0.725248,1,0.141089
3,1,602.846,185.964,42.8025,85.2627,1,-1,-1,-1,0,0,0,0,0.173333,0.0226667,1,0.00133333,0.00666667,0.962667,0.0653333
3,3,47.2525,45.0174,16.7383,31.6934,1,-1,-1,-1,0,0,0,0.0652174,0.108696,0,0.565217,0.0217391,0.456522,1,0.543478
3,4,0.70905,137.664,17.7565,67.0672,1,-1,-1,-1,0.303797,0,0,0.0886076,0.265823,0.0886076,0.113924,0.0886076,0.341772,1,0.0759494
3,39,440.048,205.55,35.5993,84.6542,1,-1,-1,-1,0.025974,0.205628,0.138528,0.0021645,0.00865801,0.0649351,0.794372,0.0497836,0.807359,1,0.168831
4,1,596.652,185.155,42.4464,84.8929,1,-1,-1,-1,0,0,0,0.00341686,0.0785877,0.0170843,1,0.0022779,0.00455581,0.791572,0.094533
4,3,49.5802,45.0331,16.7071,31.6623,1,-1,-1,-1,0,0,0,0,0.35,0.0666667,0.466667,0.0666667,0.283333,1,0.4
4,4,1.15395,138.036,19.4601,66.9849,1,-1,-1,-1,0.205882,0,0,0.0686275,0.107843,0.0882353,0.0686275,0.137255,0.235294,1,0.0784314
4,39,446.25,206.4,35.6525,84.8794,1,-1,-1,-1,0.0277136,0.212471,0.189376,0.00230947,0,0.073903,0.979215,0.117783,0.778291,1,0.2194
5,1,590.24,184.317,42.0779,84.51,1,-1,-1,-1,0.00116686,0,0,0,0.0688448,0.0210035,1,0.00233372,0.00116686,0.806301,0.106184
5,3,52.0328,44.9885,16.675,31.63,1,-1,-1,-1,0,0,0,0.0140845,0.183099,0,0.450704,0.0704225,0.169014,1,0.253521
5,4,2.03855,138.36,20.9419,66.8529,1,-1,-1,-1,0.217391,0,0,0.165217,0.0173913,0.0695652,0.0347826,0.104348,0.147826,1,0.0695652
5,39,452.513,207.237,35.9934,85.0845,1,-1,-1,-1,0.0230769,0.194231,0.171154,0.00384615,0.00769231,0.0730769,0.663462,0.0884615,0.613462,1,0.188462
6,1,583.765,183.47,41.7063,84.1233,1,-1,-1,-1,0.00479042,0,0,0.00718563,0.0634731,0.0203593,1,0.011976,0.00239521,0.838323,0.104192
6,3,54.5693,44.8594,16.6426,31.5974,1,-1,-1,-1,0,0,0,0.0454545,0.257576,0.0757576,0.181818,0.0151515,0.348485,1,0.227273
6,4,3.36615,138.626,22.1495,66.6718,1,-1,-1,-1,0.172131,0,0,0.0901639,0.0327869,0.0819672,0.0163934,0.122951,0.172131,1,0.0819672
6,39,458.622,208.026,36.7328,85.2525,1,-1,-1,-1,0.0328638,0.302817,0.164319,0,0.00938967,0.0821596,0.931925,0.197183,0.737089,1,0.255869
7,1,577.29,182.623,41.3354,83.7367,1,-1,-1,-1,0.00147275,0,0,0.00589102,0.0692194,0.0220913,0.961708,0.011782,0.00147275,1,0.150221
7,3,57.1663,44.6452,16.61,31.565,1,-1,-1,-1,0.0727273,0,0,0.0545455,0.236364,0,0.363636,0.0181818,0.109091,1,0.327273
7,4,5.0266,138.845,23.132,66.4669,1,-1,-1,-1,0.140741,0,0,0.111111,0.0148148,0.0444444,0.0592593,0.103704,0.177778,1,0.118519
7,39,464.533,208.76,37.856,85.3782,1,-1,-1,-1,0.0252918,0.206226,0.149805,0,0,0.0622568,1,0.143969,0.634241,0.896887,0.215953
8,1,570.815,181.777,40.965,83.35,1,-1,-1,-1,0,0,0,0.00438596,0.0657895,0.0190058,0.913743,0.00584795,0.00146199,1,0.133041
8,3,59.8079,44.3688,16.5774,31.5326,1,-1,-1,-1,0,0,0,0,0.367347,0.0816327,0.408163,0,0.204082,1,0.367347
8,4,6.8848,139.041,23.97,66.2846,1,-1,-1,-1,0.089172,0,0,0.0764331,0.0509554,0.0127389,0.0382166,0.0955414,0.267516,1,0.0636943
8,39,470.355,209.472,39.2166,85.4657,1,-1,-1,-1,0.0132325,0.247637,0.120983,0.00378072,0,0.0359168,1,0.102079,0.635161,0.924386,0.249527
9,1,564.34,180.931,40.5946,82.9633,1,-1,-1,-1,0.0013986,0,0,0.0027972,0.0615385,0.020979,0.827972,0.0027972,0.0027972,1,0.145455
9,3,62.474,44.0587,16.545,31.5,1,-1,-1,-1,0,0,0,0.145455,0.163636,0.109091,0.436364,0,0.272727,1,0.2
9,4,8.868,139.232,24.6926,66.1999,1,-1,-1,-1,0.0909091,0,0,0.0852273,0.0397727,0.0397727,0.0511364,0.0852273,0.159091,1,0.0568182
